Aceh,id-ac
Sumatera Utara,id-su
Sumatera Barat,id-sb
Riau,id-ri
Kepulauan Riau,id-kr
Bengkulu,id-be
Jambi,id-ja
Sumatera Selatan,id-sl
Bangka Belitung,id-bb
Lampung,id-1024
Banten,id-bt
Jakarta,id-jk
Jawa Barat,id-jr
Jawa Tengah,id-jt
Yogyakarta,id-yo
Jawa Timur,id-ji
Bali,id-ba
Nusa Tenggara Barat,id-nb
Nusa Tenggara Timur,id-nt
Kalimantan Utara,id-ku
Kalimantan Barat,id-kb
Kalimantan Timur,id-ki
Kalimantan Tengah,id-kt
Kalimantan Selatan,id-ks
Sulawesi Utara,id-sw
Gorontalo,id-go
Sulawesi Tengah,id-st
Sulawesi Barat,id-sr
Sulawesi Selatan,id-se
Sulawesi Tenggara,id-sg
Maluku Utara,id-la
Maluku,id-ma
Irian Jaya Barat,id-ib
Papua,id-pa
